checkpoint                      ndcg_10
checkpoint-1000                 0.0304
checkpoint-2000                 0.0340
checkpoint-3000                 0.0367
checkpoint-4000                 0.0391
checkpoint-5000                 0.0400
checkpoint-6000                 0.0402
checkpoint-7000                 0.0407
checkpoint-8000                 0.0436
checkpoint-9000                 0.0436
checkpoint-10000                0.0446
checkpoint-11000                0.0437
checkpoint-12000                0.0163
checkpoint-12321                0.0443
qwen3-embedding-0.6b-v2-cs5-aug  0.0443
