checkpoint                      ndcg_10
checkpoint-1000                 0.0330
checkpoint-2000                 0.0352
checkpoint-3000                 0.0401
checkpoint-4000                 0.0411
checkpoint-5000                 0.0408
checkpoint-6000                 0.0435
checkpoint-7000                 0.0423
checkpoint-8000                 0.0449
checkpoint-9000                 0.0419
checkpoint-10000                0.0426
checkpoint-11000                0.0428
checkpoint-12000                0.0433
checkpoint-12321                0.0432
qwen3-embedding-4b-cs5-gs32-aug-4b  0.0432
