checkpoint                      ndcg_10
checkpoint-1000                 0.0410
checkpoint-2000                 0.0558
checkpoint-3000                 0.0671
checkpoint-4000                 0.0538
checkpoint-5000                 0.0426
checkpoint-6000                 0.0449
checkpoint-7000                 0.0284
checkpoint-8000                 0.0257
checkpoint-9000                 0.0291
checkpoint-10000                0.0240
checkpoint-11000                0.0180
checkpoint-11277                0.0185
qwen3-embedding-0.6b-cs5-gs50-aug  0.0185
