checkpoint                      ndcg_10
checkpoint-1000                 0.0525
checkpoint-2000                 0.0626
checkpoint-3000                 0.0715
checkpoint-4000                 0.0772
checkpoint-5000                 0.0769
checkpoint-6000                 0.0762
checkpoint-7000                 0.0845
checkpoint-8000                 0.0812
checkpoint-9000                 0.0824
checkpoint-10000                0.0850
checkpoint-11000                0.0856
checkpoint-11277                0.0852
qwen3-embedding-4b-cs5-gs50-aug-4b  0.0852
