checkpoint                      ndcg_10
checkpoint-1000                 0.0153
checkpoint-2000                 0.0194
checkpoint-3000                 0.0214
checkpoint-4000                 0.0237
checkpoint-5000                 0.0254
checkpoint-6000                 0.0264
checkpoint-7000                 0.0271
checkpoint-8000                 0.0284
checkpoint-9000                 0.0290
checkpoint-10000                0.0287
checkpoint-11000                0
checkpoint-12000                0
checkpoint-13000                0.0287
checkpoint-14000                0
checkpoint-15000                0
checkpoint-16000                0.0306
checkpoint-17000                0.0302
checkpoint-17772                0.0305
qwen3-embedding-0.6b-cs5-aug-gs32  0.0305
