checkpoint                      ndcg_10
checkpoint-1000                 0.0169
checkpoint-2000                 0.0193
checkpoint-3000                 0.0230
checkpoint-4000                 0.0243
checkpoint-5000                 0.0243
checkpoint-6000                 0.0247
checkpoint-7000                 0.0260
checkpoint-8000                 0.0262
checkpoint-9000                 0.0267
checkpoint-10000                0.0265
checkpoint-11000                0.0288
checkpoint-12000                0.0262
checkpoint-13000                0.0259
